,Name of movie,Director of movie,Duration of movie,Year of Release,Rating,Metascore
0,The Dark Knight,Christopher Nolan,152,2008,Rate this  123456789109/10X ,84        
1,The Lord of the Rings: The Return of the King,Peter Jackson,201,2003,Rate this  123456789109/10X ,94        
2,Spider-Man: Across the Spider-Verse,"Joaquim Dos Santos, ",140,2023,Rate this  123456789108.9/10X ,86        
3,Inception,Christopher Nolan,148,2010,Rate this  123456789108.8/10X ,74        
4,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,178,2001,Rate this  123456789108.8/10X ,92        
5,The Lord of the Rings: The Two Towers,Peter Jackson,179,2002,Rate this  123456789108.8/10X ,87        
6,The Matrix,"Lana Wachowski, ",136,1999,Rate this  123456789108.7/10X ,73        
7,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,124,1980,Rate this  123456789108.7/10X ,82        
8,Soorarai Pottru,Sudha Kongara,153,2020,Rate this  123456789108.7/10X ,^^^^
9,Terminator 2: Judgment Day,James Cameron,137,1991,Rate this  123456789108.6/10X ,75        
10,Star Wars,George Lucas,121,1977,Rate this  123456789108.6/10X ,90        
11,Shichinin no samurai,Akira Kurosawa,207,1954,Rate this  123456789108.6/10X ,98        
12,Seppuku,Masaki Kobayashi,133,1962,Rate this  123456789108.6/10X ,85        
13,Sita Ramam,Hanu Raghavapudi,163,2022,Rate this  123456789108.6/10X ,^^^^
14,Gladiator,Ridley Scott,155,2000,Rate this  123456789108.5/10X ,67        
15,Léon,Luc Besson,110,1994,Rate this  123456789108.5/10X ,64        
16,The Dark Knight Rises,Christopher Nolan,164,2012,Rate this  123456789108.4/10X ,78        
17,Avengers: Endgame,"Anthony Russo, ",181,2019,Rate this  123456789108.4/10X ,78        
18,Spider-Man: Into the Spider-Verse,"Bob Persichetti, ",117,2018,Rate this  123456789108.4/10X ,87        
19,Raiders of the Lost Ark,Steven Spielberg,115,1981,Rate this  123456789108.4/10X ,85        
20,Aliens,James Cameron,137,1986,Rate this  123456789108.4/10X ,84        
21,Oldeuboi,Park Chan-wook,101,2003,Rate this  123456789108.4/10X ,77        
22,Avengers: Infinity War,"Anthony Russo, ",149,2018,Rate this  123456789108.4/10X ,68        
23,Kaithi,Lokesh Kanagaraj,145,2019,Rate this  123456789108.4/10X ,^^^^
24,Asuran,Vetrimaaran,141,2019,Rate this  123456789108.4/10X ,^^^^
25,Top Gun: Maverick,Joseph Kosinski,130,2022,Rate this  123456789108.3/10X ,78        
26,Heat,Michael Mann,170,1995,Rate this  123456789108.3/10X ,76        
27,North by Northwest,Alfred Hitchcock,136,1959,Rate this  123456789108.3/10X ,98        
28,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,131,1983,Rate this  123456789108.3/10X ,58        
29,Mononoke-hime,Hayao Miyazaki,134,1997,Rate this  123456789108.3/10X ,76        
30,Dangal,Nitesh Tiwari,161,2016,Rate this  123456789108.3/10X ,^^^^
31,Kantara,Rishab Shetty,148,2022,Rate this  123456789108.3/10X ,^^^^
32,Vikram,Lokesh Kanagaraj,175,2022,Rate this  123456789108.3/10X ,^^^^
33,K.G.F: Chapter 2,Prashanth Neel,168,2022,Rate this  123456789108.3/10X ,^^^^
34,Shershaah,Vishnuvardhan,135,2021,Rate this  123456789108.3/10X ,^^^^
35,Ratsasan,Ram Kumar,170,2018,Rate this  123456789108.3/10X ,^^^^
36,Batman Begins,Christopher Nolan,140,2005,Rate this  123456789108.2/10X ,70        
37,Spider-Man: No Way Home,Jon Watts,148,2021,Rate this  123456789108.2/10X ,71        
38,Jurassic Park,Steven Spielberg,127,1993,Rate this  123456789108.2/10X ,68        
39,1917,Sam Mendes,119,2019,Rate this  123456789108.2/10X ,78        
40,Indiana Jones and the Last Crusade,Steven Spielberg,127,1989,Rate this  123456789108.2/10X ,65        
41,Kill Bill: Vol. 1,Quentin Tarantino,111,2003,Rate this  123456789108.2/10X ,69        
42,V for Vendetta,James McTeigue,132,2005,Rate this  123456789108.2/10X ,62        
43,Die Hard,John McTiernan,132,1988,Rate this  123456789108.2/10X ,72        
44,Ran,Akira Kurosawa,162,1985,Rate this  123456789108.2/10X ,97        
45,Kimetsu no Yaiba: Mugen Ressha-Hen,Haruo Sotozaki,117,2020,Rate this  123456789108.2/10X ,72        
46,Gangs of Wasseypur,Anurag Kashyap,321,2012,Rate this  123456789108.2/10X ,89        
47,Yôjinbô,Akira Kurosawa,110,1961,Rate this  123456789108.2/10X ,93        
48,K.G.F: Chapter 1,Prashanth Neel,156,2018,Rate this  123456789108.2/10X ,^^^^
49,Baahubali 2: The Conclusion,S.S. Rajamouli,167,2017,Rate this  123456789108.2/10X ,^^^^
